Vardas              Pavarde                  Galutinis(vid.)     Galutinis(med.)     
----------------------------------------------------------------------------
Povilas             Balciunas                5.17                -                   
Ernestas            Petraitis                4.77                -                   
Jonas               Balciunas                6.73                -                   
Petras              Petraitis                4.73                -                   
Alanas              Stankevicius             4.73                -                   
Lukas               Butkus                   6.06                -                   
Ernestas            Vaitkus                  7.50                -                   
Povilas             Butkus                   5.13                -                   
Paulius             Jonaitis                 7.90                -                   
Jonas               Petraitis                3.27                -                   
Tomas               Vaitkus                  5.80                -                   
Danielius           Butkus                   7.20                -                   
Povilas             Vaitkus                  3.00                -                   
Ernestas            Jankauskas               5.40                -                   
Petras              Jonaitis                 2.52                -                   
Paulius             Balciunas                5.83                -                   
Tomas               Jankauskas               5.20                -                   
Alanas              Zukauskas                2.84                -                   
Mantas              Urbonas                  6.88                -                   
Paulius             Petraitis                4.93                -                   
Jonas               Kazlauskas               8.40                -                   
Mantas              Butkus                   5.93                -                   
Danielius           Kazlauskas               6.47                -                   
Mantas              Jankauskas               6.43                -                   
Ernestas            Zukauskas                5.30                -                   
Ernestas            Petraitis                5.80                -                   
Ernestas            Vaitkus                  3.53                -                   
Mantas              Stankevicius             4.83                -                   
Danielius           Petraitis                7.27                -                   
Jonas               Vaitkus                  3.96                -                   
Lukas               Jonaitis                 4.00                -                   
Alanas              Zukauskas                2.84                -                   
Alanas              Balciunas                3.87                -                   
Jonas               Kazlauskas               5.66                -                   
Tomas               Zukauskas                5.03                -                   
Ernestas            Jankauskas               8.00                -                   
Danielius           Kazlauskas               8.70                -                   
Jonas               Vaitkus                  3.84                -                   
Jonas               Stankevicius             2.80                -                   
Povilas             Zukauskas                2.70                -                   
Alanas              Balciunas                4.60                -                   
Lukas               Butkus                   5.37                -                   
Alanas              Urbonas                  5.47                -                   
Petras              Urbonas                  6.34                -                   
Danielius           Kazlauskas               5.57                -                   
Mantas              Petraitis                7.40                -                   
Povilas             Petraitis                8.80                -                   
Mantas              Stankevicius             3.53                -                   
Povilas             Petraitis                8.72                -                   
Danielius           Stankevicius             4.20                -                   
Paulius             Jonaitis                 8.24                -                   
Danielius           Jonaitis                 6.60                -                   
Petras              Jankauskas               5.87                -                   
Tomas               Vaitkus                  5.13                -                   
Petras              Jankauskas               5.20                -                   
Danielius           Jonaitis                 7.33                -                   
Ernestas            Kazlauskas               4.40                -                   
Danielius           Stankevicius             5.30                -                   
Jonas               Urbonas                  4.60                -                   
Danielius           Urbonas                  7.50                -                   
Tomas               Butkus                   8.53                -                   
Jonas               Petraitis                3.60                -                   
Jonas               Butkus                   7.30                -                   
Tomas               Jankauskas               3.26                -                   
Alanas              Jankauskas               7.00                -                   
Ernestas            Vaitkus                  5.34                -                   
Danielius           Butkus                   3.40                -                   
Petras              Petraitis                7.80                -                   
Paulius             Zukauskas                2.43                -                   
Tomas               Petraitis                6.72                -                   
Ernestas            Kazlauskas               7.16                -                   
Povilas             Urbonas                  3.40                -                   
Danielius           Jankauskas               7.07                -                   
Paulius             Stankevicius             3.20                -                   
Povilas             Urbonas                  2.90                -                   
Mantas              Stankevicius             5.24                -                   
Paulius             Urbonas                  8.51                -                   
Alanas              Balciunas                8.07                -                   
Povilas             Vaitkus                  4.00                -                   
Povilas             Vaitkus                  8.40                -                   
Petras              Urbonas                  2.07                -                   
Ernestas            Balciunas                8.60                -                   
Jonas               Stankevicius             4.87                -                   
Lukas               Petraitis                7.63                -                   
Danielius           Jankauskas               3.33                -                   
Alanas              Urbonas                  8.72                -                   
Paulius             Vaitkus                  4.80                -                   
Tomas               Urbonas                  6.20                -                   
Ernestas            Urbonas                  6.60                -                   
Lukas               Stankevicius             4.36                -                   
Ernestas            Urbonas                  7.20                -                   
Tomas               Jonaitis                 7.00                -                   
Mantas              Urbonas                  5.50                -                   
Povilas             Kazlauskas               3.00                -                   
Petras              Butkus                   5.80                -                   
Paulius             Vaitkus                  6.77                -                   
Lukas               Zukauskas                7.40                -                   
Paulius             Stankevicius             4.40                -                   
Povilas             Butkus                   6.92                -                   
Danielius           Stankevicius             7.20                -                   
Tomas               Butkus                   7.64                -                   
Povilas             Balciunas                6.24                -                   
Povilas             Vaitkus                  5.33                -                   
Danielius           Kazlauskas               7.52                -                   
Jonas               Jankauskas               6.30                -                   
Lukas               Zukauskas                6.50                -                   
Ernestas            Balciunas                3.89                -                   
Petras              Zukauskas                3.73                -                   
Alanas              Balciunas                5.53                -                   
Mantas              Stankevicius             5.89                -                   
Petras              Zukauskas                5.73                -                   
Povilas             Zukauskas                3.10                -                   
Mantas              Balciunas                7.80                -                   
Mantas              Urbonas                  7.07                -                   
Petras              Petraitis                7.00                -                   
Mantas              Jonaitis                 7.00                -                   
Mantas              Kazlauskas               3.67                -                   
Paulius             Zukauskas                4.12                -                   
Alanas              Stankevicius             4.80                -                   
Alanas              Vaitkus                  6.40                -                   
Petras              Petraitis                2.70                -                   
Jonas               Urbonas                  2.60                -                   
Lukas               Jonaitis                 4.28                -                   
Povilas             Zukauskas                3.94                -                   
Alanas              Zukauskas                7.90                -                   
Petras              Jonaitis                 5.60                -                   
Alanas              Urbonas                  6.17                -                   
Danielius           Kazlauskas               8.52                -                   
Tomas               Jankauskas               5.10                -                   
Danielius           Vaitkus                  3.48                -                   
Tomas               Vaitkus                  4.08                -                   
Mantas              Stankevicius             8.53                -                   
Paulius             Zukauskas                4.31                -                   
Tomas               Urbonas                  7.73                -                   
Tomas               Jankauskas               3.80                -                   
Tomas               Kazlauskas               5.24                -                   
Lukas               Butkus                   3.67                -                   
Ernestas            Butkus                   7.88                -                   
Lukas               Jankauskas               5.20                -                   
Alanas              Balciunas                6.60                -                   
Ernestas            Kazlauskas               5.33                -                   
Tomas               Balciunas                5.40                -                   
Tomas               Jonaitis                 2.87                -                   
Alanas              Vaitkus                  3.30                -                   
Ernestas            Vaitkus                  3.87                -                   
Ernestas            Urbonas                  4.80                -                   
Povilas             Jonaitis                 6.40                -                   
Mantas              Jankauskas               6.40                -                   
Petras              Vaitkus                  8.63                -                   
Ernestas            Zukauskas                6.60                -                   
Povilas             Kazlauskas               5.13                -                   
Paulius             Jankauskas               3.07                -                   
Petras              Balciunas                6.44                -                   
Lukas               Balciunas                4.40                -                   
Mantas              Balciunas                4.00                -                   
Tomas               Butkus                   2.33                -                   
Alanas              Jonaitis                 8.07                -                   
Paulius             Stankevicius             5.47                -                   
Ernestas            Balciunas                3.37                -                   
Lukas               Kazlauskas               4.14                -                   
Lukas               Urbonas                  7.47                -                   
Alanas              Balciunas                4.44                -                   
Tomas               Kazlauskas               6.80                -                   
Povilas             Balciunas                5.73                -                   
Tomas               Jankauskas               6.52                -                   
Alanas              Stankevicius             6.00                -                   
Jonas               Zukauskas                6.54                -                   
Paulius             Vaitkus                  6.07                -                   
Alanas              Balciunas                6.67                -                   
Paulius             Jonaitis                 2.80                -                   
Alanas              Butkus                   3.20                -                   
Mantas              Urbonas                  3.60                -                   
Petras              Petraitis                7.80                -                   
Mantas              Petraitis                4.03                -                   
Tomas               Kazlauskas               2.60                -                   
Petras              Balciunas                8.53                -                   
Mantas              Butkus                   7.00                -                   
Alanas              Vaitkus                  4.86                -                   
Povilas             Zukauskas                2.33                -                   
Ernestas            Kazlauskas               8.13                -                   
Lukas               Stankevicius             4.03                -                   
Alanas              Petraitis                5.27                -                   
Ernestas            Stankevicius             6.73                -                   
Tomas               Butkus                   2.33                -                   
Danielius           Jonaitis                 5.51                -                   
Jonas               Vaitkus                  2.80                -                   
Jonas               Butkus                   2.28                -                   
Mantas              Stankevicius             3.87                -                   
Alanas              Stankevicius             3.74                -                   
Petras              Vaitkus                  8.20                -                   
Paulius             Vaitkus                  4.20                -                   
Alanas              Stankevicius             8.64                -                   
Ernestas            Urbonas                  2.10                -                   
Paulius             Kazlauskas               2.00                -                   
Lukas               Balciunas                8.04                -                   
Paulius             Kazlauskas               3.96                -                   
Mantas              Jankauskas               3.26                -                   
Mantas              Jonaitis                 5.87                -                   
Povilas             Vaitkus                  3.53                -                   
Danielius           Vaitkus                  5.70                -                   
Tomas               Zukauskas                2.90                -                   
Mantas              Kazlauskas               7.40                -                   
Ernestas            Urbonas                  7.40                -                   
Paulius             Jonaitis                 5.32                -                   
Tomas               Urbonas                  6.96                -                   
Petras              Butkus                   6.27                -                   
Danielius           Vaitkus                  2.27                -                   
Danielius           Urbonas                  5.00                -                   
Petras              Jankauskas               5.54                -                   
Mantas              Urbonas                  5.87                -                   
Petras              Kazlauskas               6.87                -                   
Paulius             Butkus                   4.72                -                   
Tomas               Vaitkus                  7.27                -                   
Tomas               Kazlauskas               3.73                -                   
Povilas             Kazlauskas               6.53                -                   
Danielius           Zukauskas                5.40                -                   
Povilas             Zukauskas                6.56                -                   
Ernestas            Balciunas                4.03                -                   
Petras              Zukauskas                7.27                -                   
Lukas               Petraitis                8.00                -                   
Lukas               Petraitis                5.00                -                   
Danielius           Urbonas                  4.27                -                   
Paulius             Urbonas                  7.60                -                   
Mantas              Kazlauskas               4.40                -                   
Lukas               Jankauskas               4.80                -                   
Petras              Vaitkus                  3.30                -                   
Jonas               Urbonas                  3.40                -                   
Lukas               Vaitkus                  3.73                -                   
Danielius           Jankauskas               7.12                -                   
Mantas              Petraitis                4.26                -                   
Jonas               Jankauskas               3.88                -                   
Povilas             Stankevicius             6.13                -                   
Jonas               Urbonas                  4.57                -                   
Alanas              Urbonas                  5.29                -                   
Lukas               Petraitis                3.87                -                   
Alanas              Kazlauskas               8.13                -                   
Alanas              Stankevicius             7.10                -                   
Jonas               Petraitis                8.20                -                   
Alanas              Butkus                   3.73                -                   
Danielius           Balciunas                5.50                -                   
Tomas               Urbonas                  2.27                -                   
Paulius             Balciunas                8.40                -                   
Lukas               Balciunas                4.80                -                   
Povilas             Kazlauskas               6.53                -                   
Ernestas            Butkus                   4.70                -                   
Mantas              Jankauskas               8.80                -                   
Danielius           Stankevicius             2.80                -                   
Mantas              Butkus                   7.97                -                   
Mantas              Petraitis                6.28                -                   
Mantas              Zukauskas                4.27                -                   
Lukas               Jankauskas               6.00                -                   
Jonas               Zukauskas                5.90                -                   
Povilas             Jonaitis                 6.10                -                   
Danielius           Kazlauskas               7.00                -                   
Paulius             Kazlauskas               6.20                -                   
Danielius           Jonaitis                 6.93                -                   
Lukas               Butkus                   7.07                -                   
Tomas               Butkus                   2.92                -                   
Paulius             Jonaitis                 5.44                -                   
Mantas              Stankevicius             6.84                -                   
Ernestas            Vaitkus                  7.00                -                   
Tomas               Stankevicius             5.16                -                   
Danielius           Jonaitis                 6.30                -                   
Povilas             Vaitkus                  7.33                -                   
Alanas              Vaitkus                  6.92                -                   
Ernestas            Urbonas                  1.67                -                   
Tomas               Kazlauskas               5.48                -                   
Povilas             Petraitis                5.10                -                   
Mantas              Stankevicius             4.70                -                   
Tomas               Jonaitis                 5.47                -                   
Danielius           Zukauskas                3.40                -                   
Povilas             Petraitis                3.92                -                   
Lukas               Balciunas                2.26                -                   
Danielius           Kazlauskas               8.00                -                   
Petras              Petraitis                2.50                -                   
Lukas               Balciunas                2.30                -                   
Lukas               Jonaitis                 1.67                -                   
Tomas               Balciunas                5.56                -                   
Lukas               Balciunas                6.93                -                   
Alanas              Petraitis                6.27                -                   
Povilas             Jonaitis                 5.33                -                   
Lukas               Urbonas                  4.93                -                   
Paulius             Stankevicius             5.20                -                   
Petras              Vaitkus                  6.92                -                   
Danielius           Kazlauskas               7.37                -                   
Ernestas            Butkus                   3.80                -                   
Tomas               Butkus                   4.16                -                   
Paulius             Jonaitis                 7.70                -                   
Lukas               Jonaitis                 3.04                -                   
Jonas               Urbonas                  6.12                -                   
Lukas               Kazlauskas               8.24                -                   
Danielius           Petraitis                6.50                -                   
Jonas               Jankauskas               5.00                -                   
Alanas              Butkus                   4.46                -                   
Povilas             Jankauskas               7.93                -                   
Danielius           Kazlauskas               3.20                -                   
Paulius             Zukauskas                6.64                -                   
Povilas             Butkus                   7.68                -                   
Ernestas            Butkus                   7.80                -                   
Paulius             Kazlauskas               2.94                -                   
Lukas               Urbonas                  8.60                -                   
Povilas             Vaitkus                  7.00                -                   
Tomas               Jonaitis                 4.73                -                   
Ernestas            Jankauskas               3.00                -                   
Povilas             Zukauskas                3.80                -                   
Alanas              Stankevicius             3.53                -                   
Mantas              Balciunas                6.93                -                   
Tomas               Jankauskas               4.84                -                   
Alanas              Zukauskas                3.27                -                   
Lukas               Stankevicius             6.92                -                   
Petras              Jonaitis                 5.00                -                   
Lukas               Jonaitis                 4.71                -                   
Paulius             Jonaitis                 7.43                -                   
Tomas               Balciunas                4.00                -                   
Alanas              Kazlauskas               2.90                -                   
Petras              Kazlauskas               7.40                -                   
Ernestas            Urbonas                  4.53                -                   
Petras              Balciunas                7.40                -                   
Tomas               Vaitkus                  3.20                -                   
Petras              Jankauskas               3.67                -                   
Ernestas            Balciunas                8.90                -                   
Ernestas            Petraitis                3.47                -                   
Alanas              Petraitis                4.90                -                   
Lukas               Balciunas                7.29                -                   
Ernestas            Jonaitis                 8.56                -                   
Paulius             Jankauskas               6.13                -                   
Jonas               Kazlauskas               5.31                -                   
Paulius             Stankevicius             8.40                -                   
Danielius           Vaitkus                  7.07                -                   
Povilas             Zukauskas                2.76                -                   
Danielius           Zukauskas                7.27                -                   
Ernestas            Kazlauskas               7.84                -                   
Petras              Jonaitis                 7.26                -                   
Petras              Urbonas                  7.60                -                   
Petras              Jankauskas               4.91                -                   
Alanas              Balciunas                3.20                -                   
Danielius           Kazlauskas               2.83                -                   
Jonas               Stankevicius             8.33                -                   
Ernestas            Zukauskas                8.29                -                   
Lukas               Kazlauskas               5.20                -                   
Ernestas            Stankevicius             5.47                -                   
Mantas              Zukauskas                6.67                -                   
Danielius           Petraitis                3.13                -                   
Alanas              Zukauskas                6.11                -                   
Ernestas            Zukauskas                6.63                -                   
Lukas               Balciunas                4.23                -                   
Mantas              Zukauskas                5.12                -                   
Lukas               Butkus                   3.93                -                   
Jonas               Kazlauskas               6.70                -                   
Povilas             Balciunas                6.04                -                   
Mantas              Petraitis                8.93                -                   
Alanas              Vaitkus                  4.40                -                   
Alanas              Jankauskas               4.60                -                   
Tomas               Butkus                   3.46                -                   
Paulius             Petraitis                8.06                -                   
Alanas              Kazlauskas               8.51                -                   
Lukas               Jonaitis                 1.40                -                   
Tomas               Butkus                   7.20                -                   
Povilas             Balciunas                7.24                -                   
Ernestas            Jankauskas               6.67                -                   
Povilas             Balciunas                6.30                -                   
Povilas             Butkus                   8.87                -                   
Mantas              Balciunas                5.67                -                   
Paulius             Urbonas                  2.47                -                   
Mantas              Stankevicius             4.60                -                   
Jonas               Jonaitis                 7.47                -                   
Mantas              Petraitis                3.30                -                   
Paulius             Kazlauskas               7.60                -                   
Alanas              Jonaitis                 5.03                -                   
Danielius           Petraitis                3.00                -                   
Paulius             Butkus                   3.80                -                   
Lukas               Petraitis                9.20                -                   
Ernestas            Butkus                   7.94                -                   
Mantas              Kazlauskas               5.20                -                   
Jonas               Jonaitis                 5.90                -                   
Mantas              Zukauskas                5.96                -                   
Paulius             Butkus                   5.20                -                   
Petras              Butkus                   2.71                -                   
Mantas              Urbonas                  3.40                -                   
Mantas              Jonaitis                 3.60                -                   
Povilas             Kazlauskas               5.20                -                   
Paulius             Zukauskas                8.40                -                   
Danielius           Kazlauskas               2.87                -                   
Paulius             Zukauskas                3.27                -                   
Ernestas            Stankevicius             3.93                -                   
Ernestas            Balciunas                8.72                -                   
Petras              Petraitis                4.40                -                   
Povilas             Urbonas                  7.28                -                   
Lukas               Butkus                   2.87                -                   
Jonas               Balciunas                6.00                -                   
Povilas             Petraitis                8.29                -                   
Tomas               Vaitkus                  6.04                -                   
Paulius             Zukauskas                6.28                -                   
Lukas               Jankauskas               8.11                -                   
Jonas               Balciunas                6.93                -                   
Tomas               Vaitkus                  6.27                -                   
Ernestas            Butkus                   4.00                -                   
Jonas               Zukauskas                7.11                -                   
Alanas              Petraitis                5.73                -                   
Jonas               Jankauskas               5.80                -                   
Mantas              Balciunas                3.69                -                   
Mantas              Jonaitis                 8.40                -                   
Jonas               Butkus                   3.60                -                   
Petras              Stankevicius             9.30                -                   
Paulius             Vaitkus                  5.67                -                   
Ernestas            Petraitis                5.80                -                   
Mantas              Petraitis                7.10                -                   
Ernestas            Vaitkus                  3.36                -                   
Mantas              Butkus                   5.47                -                   
Alanas              Petraitis                6.20                -                   
Tomas               Jankauskas               6.60                -                   
Paulius             Zukauskas                8.04                -                   
Ernestas            Zukauskas                2.47                -                   
Alanas              Petraitis                3.73                -                   
Ernestas            Jankauskas               5.80                -                   
Alanas              Kazlauskas               2.70                -                   
Tomas               Vaitkus                  2.70                -                   
Paulius             Stankevicius             4.00                -                   
Danielius           Balciunas                3.34                -                   
Povilas             Balciunas                7.40                -                   
Ernestas            Petraitis                6.27                -                   
Tomas               Petraitis                3.69                -                   
Jonas               Vaitkus                  6.67                -                   
Mantas              Jankauskas               5.00                -                   
Alanas              Vaitkus                  6.73                -                   
Ernestas            Balciunas                4.77                -                   
Lukas               Balciunas                2.47                -                   
Ernestas            Stankevicius             6.50                -                   
Petras              Stankevicius             7.16                -                   
Mantas              Jankauskas               7.90                -                   
